Word,Clue
IMSAD,Blue words
DELFT,Blue-and-white earthenware pottery
DIXON,Bluesman Willie
LOMAX,Bluesman Willie
TEALS,Bluish shades
ROACH,Blunt end?
WINDY,Blusterous
LEXUS,BMW alternative
HOPON,Board a moving vehicle
WARPS,Board defects
PENTE,Board game with black and white stones
CHAIR,Board runner
TAFFY,Boardwalk treat
SWASH,Boast
CROWS,Boasts
UMIAK,Boat sometimes built around a whalebone frame
CARGO,Boatload
PUNTS,Boats propelled by poles
COULD,"Bob Marley's ""___ You Be Loved"""
SAGET,"Bob of ""Full House"""
RAHAL,Bobby in the Motorsports Hall of Fame of America
DARIN,"Bobby who sang ""Mack the Knife"""
SOXER,Bobby's follower?
TORSI,Bodies of art?
SOMAS,Bodies of organisms
INNIE,Body feature for roughly 90% of people
LYMPH,Body fluid
OCEAN,Body resting in bed?
ROIDS,"Bodybuilder's dirty secret, informally"
PEATS,Bog accumulations
MARSH,Boggy tract
GRITS,Boiled breakfast dish
LAPAZ,Bolivian capital
SUCRE,Bolivian capital
USAIN,Bolting Bolt
PELTS,Bombards
FAILS,Bombs
FIDES,Bona ___
ANTRA,Bone cavities
INCUS,Bone that's better known as the anvil
OSSEO,Bone: Prefix
OSTEO,Bone: Prefix
ULNAE,Bones in wings
BATTY,Bonkers
LOONY,Bonkers
BARMY,"Bonkers, in Britspeak"
CLYDE,Bonnie's partner in crime
CORNU,Bony part
ELENI,Book and film title character surnamed Gatzoyiannis
FOLIO,Book leaf
TOBIT,Book of the Apocrypha
KNOPF,Book publisher Alfred A. ___
ATLAS,Book that comes with a set of keys
LIBER,"Book, to Nero"
SCIFI,"Bookstore section, informally"
BRUTE,Boor
EXPEL,Boot
STAND,Booth at a fair
RUMPS,Booties
OUSTS,Boots from political office
SOUSE,Boozehound
SONGS,"Bops or hits, say"
MEDOC,Bordeaux wine region
TIOGA,Border county of New York or Pennsylvania
CUSPS,Borders
BLAHS,"Bored feeling, with ""the"""
FATSO,"Borgnine's ""big"" role in ""From Here to Eternity"""
HOHUM,Boring
AUGER,Boring tool
STAID,Boringly proper
BEETS,Borscht base
HOGGS,"Boss of ""The Dukes of Hazzard"" and others"
BOLES,Botanical trunks
FLORA,Botanist's study
MISDO,Botch
FLUBS,Botches
ANNOY,Bother
FAZED,Bothered
ATEAT,Bothered a lot
VEXES,Bothers
CRUET,Bottle for oil or vinegar
BSIDE,Bottom half of a 45
XAXES,Bottom lines?
DREGS,Bottom of the barrel
ABYSM,Bottomless pit
ANTED,Bought in
BOBUP,Bounce to the surface
OFFTO,Bound for
LEAPT,Bounded
LOPED,Bounded
LOPES,Bounds along
VASES,Bouquet holders
BEAUS,"Bouquet offerers, maybe"
GHALI,Boutros Boutros-___ (former U.N. chief)
CAIRO,Boutros Boutros-Ghali's home city
MINTS,Bowlful next to a restaurant cash register
LAILA,Boxer Ali
FLOYD,Boxer Patterson
MIKEY,Boy in Life cereal ads
BADEN,Boy Scouts founder Robert ___-Powell
DANNY,"Boyle who directed ""Slumdog Millionaire"""
MALES,Boys and men
STRAP,Bra part
JANET,"Brad's gal in ""The Rocky Horror Picture Show"""
LOBES,Brain divisions
SPANX,Brand of figure-shaping underwear
GINSU,Brand of knives touted in classic infomercials
EVIAN,Brand of water named after a town on Lake Geneva
CAMAY,"Brand once billed as ""the soap of beautiful women"""
LEVIS,"Brand with a classic ""501 Blues"" ad campaign"
VOLVO,Brand with the record for a single car driven the most miles (3+ million and counting)
BIERE,Brasserie offering
SAMBA,Brazilian ballroom dance
BELEM,Brazilian city at the mouth of the Amazon
BAHIA,Brazil's fourth-largest state by population
PARSE,Break down grammatically
OFDAY,Break or time follower
QUISP,Breakfast cereal with a propeller-headed alien on the front of the box
EGGOS,Breakfast items in a toaster
BACON,Breakfast sizzler
IHOPS,Breakfast spots
MEALS,"Breakfast, lunch and dinner"
RIFTS,Breaks in relations
GILLS,Breathers?
RALES,Breathing anomalies
AHSIN,Bret Harte/Mark Twain collaboration
STROH,Brewer Bernhard
THEUK,Brexit exiter
NIGEL,Brexit politician Farage
ADOBE,Brick material
SPOSA,"Bride, in Bologna"
EASTS,Bridge positions
WESTS,Bridge positions
GOREN,Bridge whiz
CLOPS,Bridle path sounds
JAUNT,Brief excursion
NOVAS,Bright night lights
LIVEN,Brighten
SKYEY,Brilliantly blue
AMUSE,Bring a smile to
LOWER,Bring down
WINIT,Bring home the gold
REMAN,Bring in a new staff for
ANEND,Bring to ___
TWERK,Bring up the rear?
TOWIN,"Bring, as to a repair shop"
TROTS,Brings (out)
VERGE,Brink
MOHEL,Bris official
APACE,Briskly
HOLST,British composer Gustav
PASTY,British meat pie
GAOLS,British pens
LEONA,British pop singer Lewis
DECCA,British record label
LIMEY,"British sailor, in slang"
ODOUR,British smell
FIBRE,British strand
STENS,British W.W. II weapons
OXFAM,British-based relief organization
MODEM,Broadband device
AIRER,Broadcaster
EMITS,Broadcasts
AGRIN,Broadly smiling
YENTE,"Broadway character who sings ""The Rumor"""
SHOWS,Broadway offerings
KINKY,"Broadway's ""___ Boots"""
ANDMY,"Broadway's ""Me ___ Girl"""
KAPUT,Broken down for good
ALLOY,"Bronze, e.g."
BESOM,Broom made of twigs
FRIAR,Brother
LEDTO,Brought about
BEGAT,"Brought forth, biblically"
SIRED,Brought into existence
HIRED,Brought on
ALTON,Brown in a Food Network kitchen
CAROB,Brown powder
UMBER,Brown shade
NOSER,Brown-___
ALALA,Brown-tinged Hawaiian crow
SPURN,Brush off
SWEPT,Brushed (away)
OGRES,Brutes
DITSY,Bubbleheaded
ONEIL,"Buck ___, Major League Baseball's first Black coach"
STAGS,Bucks
KASHA,Buckwheat porridge
HOMIE,Bud
SELIG,Bud in the Baseball Hall of Fame
COORS,Bud rival
STUPA,Buddhist memorial dome
EBSEN,"Buddy of ""Barnaby Jones"""
BEERS,Budweiser and Beck's
AIRES,Buenos ___
TONED,Buff
BOVID,"Buffalo, for one"
INTEL,Bug collection?
MORAN,Bugs from the underworld
ADDTO,Build on
ABEAR,Build-___ Workshop (toy retailer)
IBEAM,Building support
BURLY,Built like a bouncer
CORMS,Bulblike bases of stems
RAZED,Bulldozed
AMMOS,Bullets and such
TAURO,Bullish beginning?
ARIDE,Bum ___
MOGUL,Bump in a ski run
GNARL,Bump on a log
DECAL,Bumper adornment
HICKS,Bumpkins
MEETS,Bumps into
KNARS,Bumps on trunks
SWARM,Bum-rush
LOTTA,Buncha
BALED,"Bundled, as hay"
RETAX,Burden with more duties
LADEN,Burdened
CASER,"Burglar's advance man, maybe"
BANDE,"Burglary, in police shorthand"
TOWNS,Burgs
SCALD,Burn with water
BRULE,"Burnt, in cooking"
ERUCT,"Burp, more formally"
DELVE,Burrow (into)
SKINK,Burrowing lizard
RAIDS,Bursts in on
OHARE,Busiest airport in the Midwest
ESTAB,Business sign abbr.
RANDI,"Businesswoman Zuckerberg, sister of Mark"
SNOGS,Busses near Paddington Station?
MEATS,Butchers' offerings
RHETT,"Butler of ""Gone With the Wind"""
GLUTE,Butt muscle
PRIER,Buttinsky
NATES,Buttocks
RESET,Button at a bowling alley
START,Button on an old video game controller
ANTES,Buys in
LISTS,BuzzFeed fodder
ORSEA,By land ___
TATAS,Byes
IBOOK,Bygone Apple laptop
ICHAT,Bygone Apple messaging app
IVORY,Bygone artist's medium
PENNI,Bygone Finnish coin
CSINY,Bygone forensic spinoff
SOHIO,Bygone gas brand
TRANE,"Bygone saxophone great, familiarly"
SUPRA,Bygone Toyota sports car
FARES,Cabbies' clients
TRAMS,Cable cars
PAYTV,"Cable, e.g."
TAXIS,Cabs
SHAKO,Cadet's topper
PATER,Caesar's father
MONDE,Caf̩ du ___ (landmark shop in New Orleans's French Quarter)
TRAYS,Cafeteria stack
KOLAS,Caffeine-rich nuts
GLESS,Cagney player on TV
GUMBO,Cajun staple
FLICS,Calais cops
ABACI,Calculators of old
BLATS,Calf cries
MARIN,California county that's home to Muir Woods
GAVIN,California governor Newsom
WASHO,California Indian tribe: Var.
ELRIO,"California town whose name is Spanish for ""the river"""
QUAKE,California worry
REYES,California's Point ___ Peninsula
LUCIA,California's Santa ___ Range
AHALT,Call ___ to (stop)
VISIT,Call on
ENDIT,Call the whole thing off
EVOKE,Call to mind
UMPED,Called balls and strikes
PAGED,Called for
CRIED,Called out
BLOTS,Calligraphic messes
TRANQ,"Calmer, in brief"
BERGS,Calves come from them
PEETE,Calvin of the P.G.A.
NIKON,"Camera mentioned in Paul Simon's ""Kodachrome"" (not a Kodak!)"
STUMP,Campaign (for)
RVERS,"Camper enthusiasts, informally"
UNAMI,"Camus's ""Lettres a ___ Allemand"""
BANFF,Canada's oldest national park
HOSER,Canadian boor
CREES,Canadian natives
GASPE,Canadian peninsula
ABORT,"Cancel, as a mission"
AXING,Canceling
VOIDS,Cancels
TCELL,"Cancer fighter, for short"
GLACE,Candied
DECAY,Canine's woe?
NEDDA,"Canio's wife in ""Pagliacci"""
LETGO,Canned
JOHNS,Cans
ISOUT,Can't be found at the office
ABARN,Can't hit the broad side of ___
YAWNS,Can't keep one's mouth shut?
ACHES,"Can't move a muscle, say"
HASTO,Can't not
PEEKS,"Can't wait to find out, in a way"
MELON,Cantaloupe or honeydew
TRURO,Cape Cod resort town
ORALE,Cape in the Holy See
BOISE,Capital near the old Oregon Trail
DACCA,"Capital of Bangladesh, old-style"
MINSK,Capital of Belarus
AGANA,"Capital of Guam, old-style"
WUHAN,Capital of Hubei province
PALMA,Capital of Majorca
MAHON,Capital of Minorca
PERTH,Capital of Western Australia
SANAA,Capital of Yemen
RABAT,Capital on the Atlantic
DAKAR,Capital on the Cape Verde peninsula
ACCRA,Capital on the Gulf of Guinea
TUNIS,Capital where the Arab Spring began
CAVES,Capitulates
NITTI,Capone cohort Frank
JETER,Captain Clutch of baseball
TBIRD,"Car mentioned in the Beach Boys' ""Fun, Fun, Fun"""
TAWNY,Caramel relative
BAIZE,Card table cloth
MITRE,"Cardinal's hat, in Britain"
ANGIO,"Cardiologist's procedure, for short"
PAINS,Careful effort
SIFTS,Carefully sorts (through)
SNOOK,Caribbean game fish
DONGS,Carillon sounds
PONTI,Carlo in the film business
HOAGY,"Carmichael who composed ""Heart and Soul"""
ASADA,Carne ___ (taco option)
DUFFY,"Carol Ann ___, U.K. poet laureate starting in 2009"
KEENE,"Carolyn ___, pen name on ""Nancy Drew"" books"
DADOS,Carpenters' grooves
BORNE,Carried
ATUNE,Carrying ___
ITEMS,Cart contents
NELLS,Carter and others
LYNDA,Carter who portrayed Wonder Woman
ELMER,"Cartoon character who says ""Come over here, you skwewy wabbit!"""
GARRY,Cartoonist Trudeau
STEIG,Cartoonist William who created Shrek
ELWES,"Cary of ""The Princess Bride"""
KASEM,Casey with a countdown
RUPEE,Cash in India
SLOTS,Casino game that's 100% luck
TUBER,"Cassava, for one"
OLEGS,Cassini and others
SLUNG,Cast
THREW,Cast
MOATS,Castle defenses
JEANS,Casual Friday wear
BELLI,Casus ___ (action justifying a war)
CANID,Cat : felid :: dog : ___
TEARS,Cat With ___ of Joy (emoji)
ONINE,Cat-___-tails (whip)
FALLS,Cataract
PERCH,Catbird seat?
SNARE,Catch
MITTS,Catchers of flies
NAILS,Catches
ADOZE,Catching some Z's
ZONAL,Categorized by district
DEERE,Caterpillar competitor
REXES,Cats with very fine short fur
ANGUS,Cattle breed
TAPED,Caught on audio
ERROR,Cause for a correction
BLEAR,Cause fuzzy vision in
EBOLA,Cause of a 2014 scare
FLASH,Cause of red-eye
EDEMA,Cause of swollen feet and ankles
ECOLI,Cause to recall?
TANGS,Causes of puckering
ICEES,Causes of some brain freezes
SABER,Cavalry weapon
CANEM,Cave ___ (beware the dog)
ANTRE,Cavern
GROUT,Cavity filler
MAXES,Ceilings
BALTO,Celebrated husky
LUAUS,Celebrations with hula dancing
HUANG,Celebrity chef Eddie
ENEWS,Celebrity gossip show with an exclamation point in its title
KIMYE,Celebrity portmanteau beginning in 2012
DUPRE,Cellist Jacqueline
FHOLE,Cello feature
MONKS,Cenobites
LOCUS,Center of activity
DELOS,Center of the Cyclades
ALTAI,Central Asia's ___ Mountains
TRIAL,"Central event in 1960's ""Inherit the Wind"""
OTOWN,"Central Florida metropolis, informally"
FROOT,Cereal box word whose third and fourth letters are stylized as bits of cereal
ADENI,Certain Arabian Peninsula native
NAPAS,Certain California wines
TRINI,"Certain Caribbean, informally"
IOWAN,Certain caucus voter
OCTET,Certain chamber ensemble
SCRIM,Certain curtain
SWAGS,Certain curtains
TENLB,Certain dumbbell weight: Abbr.
SASES,Certain encls.
TNOTE,Certain govt. security
DCUPS,Certain intimate apparel sizes
CALLA,Certain lily
LIEIN,Certain peaceful protest
HADJI,Certain pilgrim
HASID,Certain pious Jew
CREWS,Certain racing teams
PAPER,Certain recyclable
TRACK,Certain school athletics
KINKS,Certain sexual preferences
THETA,Certain sorority member
WINOS,Certain sots
MIROS,Certain Spanish Surrealist paintings
HINGE,Certain swinger
DYERS,Certain textile workers
LATHS,Certain trellis components
BUSES,Certain ways to work
KITER,Certain white-collar criminal
USHER,Certain worker in a stadium
POTOK,"Chaim who wrote ""The Chosen"""
SANDM,Chain letters?
ZALES,Chain that sells chains
ARBYS,"Chain whose name derives from its founders, the Raffel brothers"
EAMES,Chair designer Charles
SLATE,Chalkboard material
IDIOM,Challenge for a language learner
ADUEL,Challenge to ___
WEWON,Champs' exclamation
FLUKY,Chance
ROODS,Chancel arch icons
ALTER,Change
PIVOT,Change direction sharply
REDYE,"Change from artificial blond back to brunet, say"
DINAR,"Change in the Middle East, say"
REKEY,"Change, as a hotel lock"
MELEE,Chaotic skirmish
BLOKE,Chap
OONAS,Chaplin and others
RIZZO,"Character in ""Grease"" who sings ""There Are Worse Things I Could Do"""
COMMA,"Character in ""Monsters, Inc."""
WALDO,Character often found in children's books
RUNES,Characters in Norse mythology
COVER,"Charge at the door, informally"
RANAT,Charged
IONIC,Charged for a chemistry class?
HYPER,Charged up
LANCE,Charging implement
PROAM,"Charity bowling event, e.g."
FAKER,Charlatan
HEMEN,Charles Atlas and others
BOYER,"Charles who starred in the 1938 drama ""Algiers"""
OLAND,Charlie Chan portrayer Warner
RUSSE,Charlotte ___ (rich dessert)
HEXER,Charming person?
MOJOS,Charms
ABYSS,Chasm
GULFS,Chasms
SALLE,Chateau chamber
COACH,Cheap section in a plane
MISER,Cheapskate
COZEN,Cheat
TRYON,Check for fit
PROOF,Check for mistakes
PAYEE,Check receiver
PAYTO,Check words
DEBIT,Checkout option
CURBS,Checks
CASES,"Checks out, in a way"
CHONG,Cheech's partner in 1970s-'80s movies
SAUCY,Cheeky
SKOAL,Cheer made with beer
TRALA,Cheery refrain
COLBY,Cheese akin to cheddar
ALICE,Chef Waters who pioneered the organic food movement
TOQUE,Chef's hat
VANYA,Chekhov uncle
OTTOS,Chemistry Nobelist Hahn and others
TUMOR,Chemo target
HONAN,Chengchow's province
BOSOM,Chest
COATS,Chesterfield and others
MUNCH,Chew (on)
MOTHY,"Chewed up, as a sweater"
GINZA,Chichi shopping area in Tokyo
COOPS,Chicken holders
CAPON,Chicken raised for cooking
BROTH,"Chicken stock, e.g."
WIMPS,Chickens (out)
FOWLS,Chickens and turkeys
EWOKS,"Chief Chirpa and others, in sci-fi"
AMTOO,Childish retort
ISSUE,"Children, in legalese"
JACKS,Children's ball game
HEIDI,Children's classic originally written in German
FLUES,Chimney channels
CLEFT,Chin dimple
LHASA,Chinese provincial capital more than two miles above sea level
QUESO,Chips and ___ (Tex-Mex offering)
MOCHA,Chocolate-flavored coffee
LINDT,Chocolatier since 1845
FILET,Choice cut
HEADS,Choice in a coin flip
ANDOR,Choice words?
TUNAS,Choices for sushi chefs
ABCDE,Choices on a standard Scantron test
OPTIN,Choose to participate
MEENY,Choosing-up-sides word
MINCE,Chop
RICED,"Chopped finely, as food"
DICES,Chops up finely
MOTET,Choral composition
ALTOS,Choral section
ALVIN,Choreographer Ailey
THARP,Choreographer Twyla
AILEY,Choreographer who posthumously received the Presidential Medal of Freedom in 2014
ISAAK,"Chris with the 1991 hit ""Wicked Game"""
HYNDE,Chrissie in the Rock and Roll Hall of Fame
ERIKA,"Christensen of ""Parenthood"""
RICCI,"Christina of 2003's ""Monster"""
NOELS,Christmas carols
BALDY,Chrome dome
GOODE,"Chuck Berry's ""Johnny B. ___"""
BOZOS,Chuckleheads
DRANK,Chugged or sipped
PALSY,Chummy
SYNOD,Church council
FLOCK,Churchgoers
VSIGN,Churchill's trademark gesture
NERVE,Chutzpah
TYSON,"Cicely ___, 2020 Television Academy Hall of Fame inductee"
BENJI,Cinema canine
DOLLY,Cinematography tool
DIECI,Cinque x due
HALOS,Circles overhead?
FLYER,Circular
OCULI,Circular windows
VEINS,Circulation needs
WORDY,Circumlocutory
WISPS,"Cirrus clouds, e.g."
MRMET,Citi Field mascot
LUXOR,City across the Nile from the Valley of the Kings
POONA,City ESE of Bombay
SALEM,City name on both the East and West Coast
LEEDS,City NE of Manchester
XENIA,City near Dayton
WIGAN,City near Manchester
TAMPA,City near St. Petersburg
ASWAN,City near the Temple of Isis
FLINT,City NNW of Detroit
PORTO,City north of Lisboa
ARGOS,City of the Peloponnese
AMMAN,City that ancient Greeks called Philadelphia
ABUJA,City that replaced Lagos as Nigeria's capital
PLANO,City that's headquarters for Pizza Hut and J. C. Penney
WARDS,City voting districts
XERES,"City whose name was the source of the word ""sherry"""
MIAMI,City with a Little Havana
HAIFA,City with views of the Mediterranean and Mount Carmel
SOFTC,"City, but not county, leader?"
INNIS,Civil rights leader Roy
MUFTI,Civvies
MOIST,Clammy
SHANE,Classic Alan Ladd film
ABFAB,"Classic BBC sitcom, to fans"
SORRY,Classic board game derived from pachisi
BOSCO,Classic chocolate syrup brand
ODEON,Classic cinema name
COALS,Classic eyes for Frosty
DANDD,"Classic fantasy game, informally"
NEHIS,Classic fruity sodas
GHOST,Classic Halloween costume
SAVOY,"Classic Harlem ballroom, with ""the"""
USEME,"Classic hit that begins ""My friends feel it's their appointed duty ..."""
ETYPE,Classic Jaguar model
RINSO,Classic laundry brand
GARBO,Classic leading lady honored on both U.S. and Swedish postage
MOMMA,Classic Mell Lazarus comic strip
POLLY,Classic name for a parrot
ARIAL,Classic neo-grotesque typeface
IPANA,Classic toothpaste brand
NECCO,Classic wafer brand
ILION,Classical name of Troy
HELEN,Classical personification of ideal human beauty
EPODE,Classical poem form
STOAS,Classical promenades
ODEUM,Classical theater
PLANE,Classroom missile that might be grounds for detention
TALON,Claw
MOPUP,Clean a spill
REMOP,"Clean again, perhaps"
GIING,Cleaning for military inspection
SWABS,"Cleans, as a deck"
POWER,Cleanup hitter's attribute
LETBY,Clear a path for
DERAT,Clear of vermin
ETHER,Clear sky
DEFOG,"Clear, in a way"
BUSED,Cleared the dishes
GLADE,Clearing
OKING,Clearing
SORTS,Clears up a jumble
THOUS,"Cleveland's bills, for short"
ICONS,Clickable things
BRINK,Cliff's edge
PARIS,Climate agreement city
VETCH,Climbing plant in the pea family
SEWUP,Clinch
REICH,Clinton's first labor secretary
MASTS,Clipper parts
GUMUP,Clog
JAMUP,Clog
HANDY,Close by
TREWS,Close-fitting tartan pants
CADRE,Close-knit group
CERES,Closest dwarf planet
PLEAT,Clothing crease
TREAS,Club finance officer: Abbr.
SWATS,Clubs
HINTS,Clues
PAWER,Clumsy handler
BUNCH,Cluster
TRAIN,Coach
GREGG,Coach Popovich with five N.B.A. championships
SHULA,Coach with two Super Bowl championships
LUGED,Coasted at the Olympics?
ICEUP,Coat in the winter
SOLER,"Cobbler, at times"
SOLES,Cobbler's supply
SALAS,"Cocina and bano, e.g."
NUTSO,Cockamamie
DIALS,Cockpit array
NOICE,Cocktail specification
COPRA,Coconut oil source
PUPAS,Cocoon residents
ALENE,"Coeur d'___, Idaho"
DONUT,Coffee go-with
STAIN,Coffee spot?
BIERS,Coffin frames
SEALE,Co-founder of the Black Panthers
KNOWS,Cognizes
MARCS,Cohn and Chagall
OBOLI,Coins of ancient Athens
OBOLS,Coins that pay for passage over the River Styx
SHERM,"Col. Potter on ""M*A*S*H,"" to pals"
ALGID,Cold
BRISK,"Cold and enlivening, as a wind"
SCHAV,Cold sorrel soup
FROYO,Cold treat with a rhyming name
HBOMB,"Cold War concern, for short"
PINKO,Cold War era epithet
SCUDS,Cold War missiles on mobile launchers
KUBLA,"Coleridge's ""___ Khan"""
PLOTZ,Collapse in frustration
GLEAN,Collect little by little
EDSEL,Collectible car of the late '50s
ALBUM,Collection of songs
CURIO,Collector's item
DORMS,College accommodations
SIGEP,College frat with the greatest number of chapter houses (200+)
PREXY,College honcho
BATES,"College in Lewiston, Me."
ESPNU,College sports channel
TBONE,Collide into the side of
YOURN,Colloquial possessive
OPAHS,Colorful food fish
TETRA,Colorful tropical fish
TINCT,Coloring
IMMIE,Color-streaked playing marble
YESES,Column on a survey
NADIA,Comaneci of gymnastics
INONE,Combined
POOLS,Combines
HATCH,Come out of one's shell
LEARN,Come to understand
ARISE,Come up
SEZME,Comeback to a challenge of authority
NORAS,Comedian Dunn and others
HASAN,Comedian Minhaj
SAHLS,Comedian Mort and kin
SYKES,Comedian Wanda
HALEY,Comets' head
HOMEY,Comfortably inviting
BALMS,Comforts
THROW,Comfy couch accessory
ROWAN,"Comic Atkinson of ""Bean"" and ""Mr. Bean's Holiday"""
KAPOW,Comic book sound effect
RIFFS,Comic improvisations
GILDA,"Comic Radner of early ""Saturday Night Live"""
SKITS,Comic sketches
BLUTO,Comic strip antagonist with massive arms
LUANN,Comic strip character surnamed DeGroot
JULIA,Comic Sweeney
PRYOR,"Comic whom Seinfeld called ""the Picasso of our profession"""
IMGAY,Coming-out phrase
WIELD,"Command, as influence"
RIKER,Commander of the Enterprise
ORAMA,Commercial suffix akin to -apalooza
PHOBE,Commitment-___
OSIER,Common basket-weaving material
OTYPE,Common blood group
SPEAK,Common dog command
KNISH,Common Jewish deli order
YALES,Common locks
JOCKO,Common name for a chimp
DUSTY,Common name for a cowboy
PLEBS,Common people
EMPTY,Common recyclable
FRIZZ,Common result of high humidity
XANAX,Common treatment for anxiety and panic disorders
ADDER,Common viper
HOOHA,"Commotion, in slang"
TODOS,Commotions
YODEL,Communication during peak times?
WAFER,Communion tidbit
ETHOS,Community spirit
BUTCH,Companion of Rex and Rover
SAHIB,"Companion, in Arabic"
RONCO,Company behind the Veg-O-Matic
PIXAR,Company Steve Jobs once owned
PATHE,Company that invented newsreels
WHAMO,Company that makes Frisbees
ROCHE,Company that makes Valium
XEROX,Company where the computer mouse was developed
ALCOA,Company with a can-do attitude?
GEICO,Company with a spokeslizard
ASOLD,Comparable in years
ASMAD,Comparable to a March hare
ASRED,Comparable to a strawberry
WRIER,Comparatively twisted
HALER,Comparatively well
LIKEN,Compare
HALED,Compelled
FENCE,Compete in one leg of a modern pentathlon
RIVAL,Compete with
BIKED,Competed in the Giro d'Italia
BAKES,Competes on a British cooking show
VYING,Competing
RODEO,Competition where you might pull a calf?
COMET,Competitor of Ajax and Bon Ami
EXXON,Competitor of BP
REMAX,Competitor of Century 21
KOHLS,Competitor of Target
TELEO,Complete: Prefix
BOXIN,Completely confine
EATIT,Completely fail
PURGE,Completely remove
TOTAL,Completely wreck
MESSY,"Complicated, as a relationship"
COMBS,Components of many barbershop logos
ALBAN,Composer Berg
ANTON,Composer Bruckner
SAENS,Composer Camille Saint-___
STYNE,Composer of many Streisand show tunes
CORAL,Composition of many reefs
MATHS,Computation class in Cambridge
CISCO,Computer networking company
CORES,Computer processor parts
CACHE,Computer store
DUPER,Con artist
BUNCO,Con game
THUNK,Conceived in a nonstandard way
TITRE,"Concentration, to a British chemist"
WOUND,Concern for a medic
ANENT,Concerning
ARTUR,Concert pianist Rubinstein
PITHY,Concise and to the point
AGREE,Concur
DEIGN,Condescend (to)
WAGED,"Conducted, as a campaign"
LORIN,Conductor ___ Maazel
ZUBIN,Conductor Mehta
SEIJI,Conductor Ozawa
DUNCE,Conehead
PLANT,Confederate in an audience
ADMIT,Confess (to)
OWNUP,Confess (to)
SEIZE,Confiscate
BLAZE,Conflagration
ADDLE,Confound
FIRMS,Conglomerate parts
ROOST,Congregate to rest
AMENS,Congregational chorus
AETNA,Connecticut-based insurance giant
TIEIN,Connection
EDRED,Conqueror of Northumbria in 946
NAGEL,Conrad of the silents
WEIGH,"Consider in detail, as options"
RANDO,"Conspicuously unfamiliar party guest, informally"
DRACO,Constellation almost above the North Pole
TENTH,Constitutional amendment regarding states' rights
BOXED,"Constrained, with ""in"""
BLDGS,Construction co. projects
SPECS,Construction details
DOZER,"Construction vehicle, informally"
EATOF,"Consume, biblically"
FEDON,Consumed
NADER,Consumer advocate Ralph
PANDG,"Consumer products giant, for short ... or a hint to the answers to the eight starred clues"
USEBY,Container words
BARIC,Containing element #56
CHIPS,Contents of a bowl or a pot
ENTRY,Contest attempt
QUEEN,"Contestant on ""RuPaul's Drag Race"""
REICE,"Continue to treat, as a sprain"
PAYIN,Contribute
GINUP,Contrive
KNOBS,Controls
TAMES,Controls
RESAT,Convened anew
MOPED,Convenient transport through urban traffic
HANDI,"Convenient, in commercial names"
OMITS,"Conveniently forgets to mention, maybe"
HAYED,Converted into bundles for a loft
COKED,"Converted into fuel, as coal"
FELON,Convicted criminal
BROWN,Cook on the outside
BROIL,Cook under a hot flame
STEAM,"Cook, as vegetables"
AROLL,"Cookin', after ""on"""
SSTAR,"Cool, giant sun"
DAWES,Coolidge's vice president
STIED,Cooped up like pigs
CASKS,Cooper's output
PELEG,Co-owner of the Pequod
APLEA,Cop ___
GOTBY,"Coped, barely"
DANES,"Copenhageners, e.g."
MIMED,Copied
CLONE,Copy
APERS,Copycats
POLYP,Coral component
PLANK,Core exercise
HOKEY,Cornball
IVIES,"Cornell and Columbia, for two"
PERKS,"Corner offices and prime parking spots, for company V.I.P.s"
ANCON,Cornice support
AUDIE,Cornish of NPR
SUITS,Corporate bigs
ICAHN,Corporate raider Carl
REORG,"Corporate shuffle, for short"
HEMIN,Corral
PENIN,Corral
RIGHT,Correct
IMEAN,Corrective phrase
AEREO,Correo ___
GRAFT,Corruption
LACER,Corset tightener
MEDIT,Corsica locale: Abbr.
GELEE,Cosmetic goop
ALMAY,Cosmetics brand owned by Revlon
KARMA,Cosmic force
SOYUZ,Cosmonaut's craft
YOKEL,Cosmopolitan's opposite
ADFEE,Cost for a radio or TV commercial
RICAN,Costa ___
RHONE,Cotes du ___ (wine appellation)
SOFAS,Couches
TRENT,Council site of 1545
ELIHU,Counselor to Job
BASIE,Count in music
MIENS,Countenances
DANKE,"Counterpart of ""Bitte"""
NOIRE,"Counterpart of ""blanche"""
ELSOL,Counterpart of la luna
CHILE,Country along Argentina's entire western border
MARTY,Country crooner Robbins
DEANA,Country music's Carter
GHANA,Country separating Togo from Ivory Coast
GAYLE,Country singer Crystal
MERLE,Country singer Haggard
OSLIN,Country singer K. T. ___
MARGO,Country singer Price
EARLE,Country singer Steve
TWANG,Country sound
KENYA,Country that celebrated Obama Day in 2008
SUDAN,Country that lost a quarter of its territory in 2011
CAMPO,Countryside: Sp.
FOURH,County fair organizer
OTERO,County in New Mexico or Colorado
DERRY,County near Tyrone
CLARE,County north of Limerick
DETAT,Coup ___
JUNTA,Coup d'etat group
DYADS,Couples
ROUTE,Course
NEURO,"Course covering axons and dendrites, for short"
SALAD,Course with greens
TRIER,Court figure
FOULS,Court no-nos
WRITS,Court orders
CIVIL,Courteous
PLEAS,Courtroom statements
SCAUP,Cousin of a mallard
SHREW,Cousin of a mole
PONCA,Cousin of an Omaha
ESQUE,Cousin of -ian
OBEAH,Cousin of voodoo
ERNES,Cousins of kites
BOBBY,Coventry cop
ALIBI,Cover story
RIMED,Covered in frost
MOSSY,Covered in some green growth
VINED,Covered with ivy
HUSKS,Coverings on ears of corn
